name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
AB Svartspår,https://www.allabolag.se/foretag/ab-svartsp%C3%A5r/hallsberg/-/5569321531,[],556932-1531,2624,AB Svartspår,2013-05-16,Aktiebolag,1,"Bäckaskog Berget 694, 694 92 Hallsberg","c/o Filip Bogehäll Bäckaskog Berget 694, 694 92 Hallsberg",Hallsberg,50,"['42120 Anläggning av järnvägar och tunnelbanor', '33120 Reparation av maskiner', '43120 Mark- och grundarbeten']",Aktiebolaget ska utföra spår och mark entreprenad och uthyrning av personal jämte därmed förenlig verksamhet.,,,
Hedström Måleri AB,https://www.allabolag.se/foretag/hedstr%C3%B6m-m%C3%A5leri-ab/%C3%B6rebro/-/5568763683,[],556876-3683,2623,Hedström Måleri AB,2011-12-14,Aktiebolag,2,"Engelbrektsgatan 34, 702 12 Örebro","Engelbrektsgatan 34, 702 12 Örebro",Örebro,50,['43341 Måleriarbeten'],"Bolagets verksamhet ska vara att bedriva måleri- och byggnadsverksamhet, försäljning av färg och tapeter samt äga och förvalta fast egendom jämte därmed förenlig verksamhet.",,,
Grävhjälpen i Kumla AB,https://www.allabolag.se/foretag/gr%C3%A4vhj%C3%A4lpen-i-kumla-ab/%C3%B6rebro/-/5566426663,[],556642-6663,2623,Grävhjälpen i Kumla AB,2003-04-07,Aktiebolag,1,"Karlsdalsallén 57, 702 52 Örebro","Karlsdalsallén 57, 702 52 Örebro",Örebro,100,['43991 Uthyrning av bygg- och anläggningsmaskiner med förare'],"Bolaget skall bedriva uthyrning av maskiner för bygg- och anläggningsverksamhet, entreprenadverksamhet med maskiner för bygg- och anläggningsverksamhet samt handel med värdepapper och fast egendom och därmed förenlig verksamhet.",Per Joakim Åhs,070-545 56 54,
ThunderAy AB,https://www.allabolag.se/foretag/thunderay-ab/%C3%B6rebro/-/5593493900,[],559349-3900,2619,ThunderAy AB,2021-11-29,Aktiebolag,1,"Lars-Pettravägen 13 b, 702 31 Örebro","Lars-Pettravägen 13 b, 702 31 Örebro",Örebro,25,['58210 Utgivning av dataspel'],Bolaget ska bedriva tillverkning och försäljning av digitala tillägg till dator- och videospel. Dessa digitala tillägg kommer i form av olika världar som syftar till att berika och förbättra den övergripande spelupplevelsen för användarna.,Melvin Stefan Hedlund,,
Lekebergs Rör AB,https://www.allabolag.se/foretag/lekebergs-r%C3%B6r-ab/fjugesta/-/5591970941,[],559197-0941,2618,Lekebergs Rör AB,2019-02-28,Aktiebolag,2,"Hackvads Via Smedberga 5145, 716 91 Fjugesta","Hackvads Via Smedberga 5145, 716 91 Fjugesta",Fjugesta,50,['43221 Värme- och sanitetsarbeten'],"Föremålet för bolagets verksamhet är vvs-installationer, byggverksamhet, markarbeten och därmed förenlig verksamhet.",,,
Dino M AB,https://www.allabolag.se/foretag/dino-m-ab/lindesberg/-/5593765265,[],559376-5265,2617,Dino M AB,2022-04-20,Aktiebolag,2,"Gruvgatan 13, 711 34 Lindesberg","Gruvgatan 13, 711 34 Lindesberg",Lindesberg,25,['56100 Restaurangverksamhet'],Bolaget skall bedriva restaurangverksamhet och därmed förenlig verksamhet,,,
SN Beauty AB,https://www.allabolag.se/foretag/sn-beauty-ab/%C3%B6rebro/-/5591884100,[],559188-4100,2616,SN Beauty AB,2018-12-21,Aktiebolag,4,"Köpmangatan 29, 702 23 Örebro","Köpmangatan 29, 702 23 Örebro",Örebro,50,['96022 Skönhetsvård'],Bolaget ska bedriva verksamhet skönhetsvård samt handel med skönhetsprodukter och därmed förenlig verksamhet.,,,
Costello i Örebro AB,https://www.allabolag.se/foretag/costello-i-%C3%B6rebro-ab/%C3%B6rebro/-/5591446074,[],559144-6074,2613,Costello i Örebro AB,2018-01-10,Aktiebolag,2,"Fatbursgatan 1, 702 26 Örebro","Fatbursgatan 1, 702 26 Örebro",Örebro,50,['56100 Restaurangverksamhet'],"Föremålet för bolagets verksamhet är att bedriva restaurang-, café, och cateringverksamhet, utföra reklam för verksamheten via internet, import och försäljning av livsmedel, förvalta fast egendom, handel med värdepapper, även som idka därmed förenlig verksamhet.",,,
Bonushem Samsala AB,https://www.allabolag.se/foretag/bonushem-samsala-ab/hallsberg/-/5591713077,[],559171-3077,2613,Bonushem Samsala AB,2018-09-13,Aktiebolag,0,"Korsbergsgatan 118, 694 37 Hallsberg","Korsbergsgatan 118, 694 37 Hallsberg",Hallsberg,50,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],"Föremålet för bolagets verksamhet ska vara att äga och förvalta fast egendom, bedriva handel med värdepapper samt därmed förenlig verksamhet.",Stig Erik Börje Peter Zetterlind,,
Bodins i Lekeberg AB,https://www.allabolag.se/foretag/bodins-i-lekeberg-ab/%C3%B6rebro/-/5567433239,[],556743-3239,2613,Bodins i Lekeberg AB,2007-11-19,Aktiebolag,1,"Karlsgatan 16, 703 41 Örebro","C/o Rikard Bodin Karlsgatan 16, 703 41 Örebro",Örebro,100,['25620 Metallegoarbeten'],"Bolaget ska bedriva mekanisk verkstad, metallegoarbeten, industrimontage uthyrning av arbetskraft, äga och förvalta fastigheter och därmed förenlig verksamhet.",,,
Reliva Gruppen AB,https://www.allabolag.se/foretag/reliva-gruppen-ab/%C3%B6rebro/-/5591945299,[],559194-5299,2611,Reliva Gruppen AB,2019-02-11,Aktiebolag,2,"Sommarrovägen 12, 702 30 Örebro","Sommarrovägen 12, 702 30 Örebro",Örebro,50,"['96090 Övriga konsumenttjänster', '78200 Personaluthyrning']","Bolaget ska bedriva bemanning och rekrytering av personal samt arbetsmarknadsinsatser i form av jobb-matchning, individuell coachning, övriga arbetsmarknadsförberedande åtgärder samt utbildning och därmed förenlig verksamhet.",,,
Tavlans Schakt och entreprenad AB,https://www.allabolag.se/foretag/tavlans-schakt-och-entreprenad-ab/karlskoga/-/5568777261,[],556877-7261,2610,Tavlans Schakt och entreprenad AB,2011-12-21,Aktiebolag,2,"Tavlan 252, 691 91 Karlskoga","c/o Richard Bäckström Tavlan 252, 691 91 Karlskoga",Karlskoga,50,['43120 Mark- och grundarbeten'],Föremålet för bolagets verksamhet är markentreprenad och schaktarbeten samt transporter och därmed förenlig verksamhet.,,,
SVANBERG & CO INVEST AB,https://www.allabolag.se/foretag/svanberg-co-invest-ab/%C3%B6rebro/-/5567240600,[],556724-0600,2610,SVANBERG & CO INVEST AB,2007-02-19,Aktiebolag,6,"Slottsgatan 8, 703 61 Örebro","Slottsgatan 8, 703 61 Örebro",Örebro,100,['70220 Konsultverksamhet avseende företags organisation'],"Bolaget skall äga och förvalta aktier och fast egendom, bedriva konsultverksamhet inom områdena försäljning och management och friskvård samt idka därmed förenlig verksamhet.",Håkan Carl Fredrik Svanberg,,
Markproof AB,https://www.allabolag.se/foretag/markproof-ab/kumla/-/5591396303,[],559139-6303,2610,Markproof AB,2017-12-14,Aktiebolag,1,"Stationsgatan 18, 692 35 Kumla","Stationsgatan 18, 692 35 Kumla",Kumla,50,"['47911 Postorderhandel och detaljhandel på Internet med brett sortiment', '62010 Dataprogrammering']","Webbdesign, postorderhandel via internet till privatpersoner och företag avseende produkter, reservdelar och tillbehör till mobiltelefoner, kläder och accessoarer.",,,
Karlskoga G AB,https://www.allabolag.se/foretag/karlskoga-g-ab/degerfors/-/5593799926,[],559379-9926,2609,Karlskoga G AB,2022-05-11,Aktiebolag,3,"Kanadagatan 17, 693 31 Degerfors","Kanadagatan 17, 693 31 Degerfors",Degerfors,25,"['49320 Taxitrafik', '47713 Specialiserad butikshandel med damkläder']",Företaget ska jobba med taxiverksamhet i Karlskoga.,,,
Björks Måleritjänst i Örebro AB,https://www.allabolag.se/foretag/bj%C3%B6rks-m%C3%A5leritj%C3%A4nst-i-%C3%B6rebro-ab/%C3%B6rebro/-/5566389127,[],556638-9127,2606,Björks Måleritjänst i Örebro AB,2003-01-30,Aktiebolag,2,"Riagatan 14, 702 43 Örebro","MAGNUS PETTERSSON Riagatan 14, 702 43 Örebro",Örebro,100,['43341 Måleriarbeten'],"Bolaget skall bedriva måleri-, byggnads-, golv- samt övrigt förekommande entreprenader inom byggbranschen, handel med samt förvaltning och skötsel av fastigheter, handel med värdepapper samt därmed förenlig verksamhet.",,019-18 80 10,
Agenzia AB,https://www.allabolag.se/foretag/agenzia-ab/%C3%B6rebro/-/5566896246,[],556689-6246,2602,Agenzia AB,2005-11-07,Aktiebolag,2,"Forskarvägen 1 1tr, 702 54 Örebro","Forskarvägen 1, 702 54 Örebro",Örebro,100,['69201 Redovisning och bokföring'],"Bolaget skall bedriva konsultverksamhet inom redovisning och företagsadministration samt därmed förenlig verksamhet. Bolaget ska även bedriva verksamhet med fordons- och båtreparationer, handel med fordon och båtar, utföra konsulttjänster inom fordons- och båtbranschen samt därmed förenlig verksamhet.",,,
Vita Rummet Hud o Spa AB,https://www.allabolag.se/foretag/vita-rummet-hud-o-spa-ab/karlskoga/-/5591855308,[],559185-5308,2601,Vita Rummet Hud o Spa AB,2018-12-13,Aktiebolag,2,"Loviselundsvägen 59, 691 31 Karlskoga","Loviselundsvägen 59, 691 31 Karlskoga",Karlskoga,50,['96022 Skönhetsvård'],"Hudvårdssalong som bedriver ansiktsbehandlingar, massage, fotvård, Make Up, vaxning, lpl-behandlingar, frans och bryn- färgning, produktförsäljning av hudvårdsprodukter som ansikts- krämer och kroppsprodukter och make up. Presentkortsförsäljning i form av behandlingar.",,,
Selme Holding AB,https://www.allabolag.se/foretag/selme-holding-ab/kumla/-/5567929525,[],556792-9525,2600,Selme Holding AB,2009-11-05,Aktiebolag,2,Kumla,"Box 156, 692 23 Kumla",Kumla,100,['71123 Teknisk konsultverksamhet inom elteknik'],"Bolaget skall bedriva konsultverksamhet inom tele- och datanät, förvaltning av värdepapper samt därmed förenlig verksamhet.",,,
