name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Kyrkeby Växtodling AB,https://www.allabolag.se/foretag/kyrkeby-v%C3%A4xtodling-ab/%C3%B6rebro/-/5568852494,[],556885-2494,10982,Kyrkeby Växtodling AB,2012-02-23,Aktiebolag,1,,"Mosås 190, 705 94 Örebro","Mosås 190, 705 94 Örebro",Örebro,50,"['01471 Äggproduktion (för försäljning)', '01110 Odling av spannmål (utom ris), baljväxter och oljeväxter', '46210 Partihandel med spannmål, råtobak, utsäde och djurfoder']","Föremålet för bolagets verksamhet är odling av ekologiskt spannmål, utbildning och konsultation inom lantbruk och därmed förenlig verksamhet.",,
Bilpunkten i Örebro AB,https://www.allabolag.se/foretag/bilpunkten-i-%C3%B6rebro-ab/%C3%B6rebro/-/5569854408,[],556985-4408,10978,Bilpunkten i Örebro AB,2014-10-07,Aktiebolag,2,,"Fällersta 601, 705 94 Örebro","Fällersta 601, 705 94 Örebro",Örebro,50,"['45110 Handel med personbilar och lätta motorfordon', '45201 Allmän service och reparation av motorfordon utom motorcyklar']","Bolaget skall bedriva import och export samt handel med nya och begagnade fordon, äga och förvalta fast egendom, aktier, andelar och andra värdepapper ävensom idka därmed förenlig verksamhet. Bolaget skall vidare tillhandahålla konsult och servicetjänster inom området import och export med nya och begagnade fordon och därmed förenlig verksamhet.",,
Vattenparken Café Aktiebolag,https://www.allabolag.se/foretag/vattenparken-caf%C3%A9-aktiebolag/%C3%B6rebro/-/5567174775,[],556717-4775,10973,Vattenparken Café Aktiebolag,2006-12-12,Aktiebolag,7,,"Oljevägen 15, 703 82 Örebro","Oljevägen 15, 703 82 Örebro",Örebro,100,['56100 Restaurangverksamhet'],"Bolaget ska bedriva café och restaurangverksamhet, fastighetsförvaltning, handel med värdepapper samt därmed förenlig verksamhet.",,
Berga Ägg & Jord AB,https://www.allabolag.se/foretag/berga-%C3%A4gg-jord-ab/fjugesta/-/5591021281,[],559102-1281,10968,Berga Ägg & Jord AB,2017-02-27,Aktiebolag,5,Claes Gösta Sven Schneider,"Berga Gård, 716 92 Fjugesta","Berga Gård, 716 92 Fjugesta",Fjugesta,50,"['01610 Service till växtodling', '01471 Äggproduktion (för försäljning)']","Jordbruk, Äggproduktion, Växtodling, Förädling av gårdens produkter",,
Printeliten i Örebro AB,https://www.allabolag.se/foretag/printeliten-i-%C3%B6rebro-ab/%C3%B6rebro/-/5566098330,[],556609-8330,10963,Printeliten i Örebro AB,2001-04-17,Aktiebolag,8,,"Rörvägen 1 b, 702 27 Örebro","Rörvägen 1 b, 702 27 Örebro",Örebro,700,['18130 Grafiska tjänster före tryckning (prepress/premedia)'],"Bolaget ska bedriva reproverksamhet inom tjänst och lösningar för analog och digital bildproduktion, dokumentation samt övrig kopiering i svart, vitt och färg samt därmed förenlig verksamhet.",019-26 97 27,
HALLSBERGS BILLACKERING AB,https://www.allabolag.se/foretag/hallsbergs-billackering-ab/hallsberg/-/5591210017,[],559121-0017,10958,HALLSBERGS BILLACKERING AB,2017-08-04,Aktiebolag,9,Jan Magnus Olsson,"Tegelgatan 3, 694 32 Hallsberg","Tegelgatan 3, 694 32 Hallsberg",Hallsberg,50,"['45202 Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar', '25610 Beläggning och överdragning av metall', '45201 Allmän service och reparation av motorfordon utom motorcyklar']","Bolaget ska bedriva billackering, industrilackering, bilplåtsreparationer, lastbilslackering, husbil och husvagnslackering, mc-lackering, glasreparationer, bilplastreparationer samt därmed förenlig verksamhet.",,
Spiscenter Interiör i Örebro AB,https://www.allabolag.se/foretag/spiscenter-interi%C3%B6r-i-%C3%B6rebro-ab/%C3%B6rebro/-/5564970134,[],556497-0134,10954,Spiscenter Interiör i Örebro AB,1994-11-14,Aktiebolag,5,,"Kåvivägen 5 Bv, 703 75 Örebro","Kåvivägen 44, 705 91 Örebro",Örebro,100,['46731 Partihandel med virke och andra byggmaterial'],"Aktiebolaget skal sälja och installera braskaminer, öppna spisar, skorstenar samt tillhandahålla tjänster och produkter i samband med heminredning.",,
Dema industripartner AB,https://www.allabolag.se/foretag/dema-industripartner-ab/hallsberg/-/5591647002,[],559164-7002,10946,Dema industripartner AB,2018-07-04,Aktiebolag,3,,"Gränsgatan 14, 694 32 Hallsberg","Gränsgatan 14, 694 32 Hallsberg",Hallsberg,50,"['33120 Reparation av maskiner', '64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare']","Aktiebolaget ska bedriva verksamhet inom verkstadsindustri såsom svets, smide, service, reparationer och bearbetning. Uthyrning av arbetskraft. Handel med värdepapper.",,
Citybird LML AB,https://www.allabolag.se/foretag/citybird-lml-ab/%C3%B6rebro/-/5566117627,[],556611-7627,10942,Citybird LML AB,2001-06-06,Aktiebolag,3,Lars Magnus Larnhed,"Basilikavägen 3, 702 52 Örebro","Basilikavägen 3, 702 52 Örebro",Örebro,100,"['74900 Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik', '59200 Ljudinspelning och fonogramutgivning', '69103 Patentbyråverksamhet m.m.']","Bolaget ska bedriva verksamhet inom musik och underhållnings- branschen. Verksamheten kommer att innefatta: musikproduktion, management, juridisk rådgivning, förlagsverksamhet, bokning och arrangemang av konserter, produktion och försäljning av musik och musikrelaterade produkter samt därmed förenliga verksamheter.",,
syntexa AB,https://www.allabolag.se/foretag/syntexa-ab/nora/-/5569022568,[],556902-2568,10928,syntexa AB,2012-08-29,Aktiebolag,1-4,Johan Daniel Ehrt,"Hagbyvägen 26, 713 30 Nora","Hagbyvägen 26, 713 30 Nora",Nora,50,"['61900 Annan telekommunikation', '64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare', '68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler']","Föremålet för bolagets verksamhet är att bedriva telekommunikation, förvaltning av värdepapper och fastigheter och därmed förenlig verksamhet.",,
