name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Degerfors Long Products AB,https://www.allabolag.se/foretag/degerfors-long-products-ab/degerfors/-/5593324907,[],559332-4907,1878856,Degerfors Long Products AB,2021-08-30,Aktiebolag,91,Sara Maria Elisabeth Randström,"Bruksparken 2, 693 81 Degerfors","Bruksparken 2, 693 81 Degerfors",Degerfors,25,"['24100 Framställning av järn och stål samt ferrolegeringar', '24310 Tillverkning av kalldragen stålstång', '38320 Återvinning av källsorterat material']","Bolaget ska bedriva tillverkning, utveckling, försäljning och distribution av rostfria stålprodukter och nickelbaserade legeringar, antingen direkt eller genom innehav av aktier och eller andelar i andra företag, samt därmed förenlig verksamhet.",,
Cambrex Karlskoga Aktiebolag,https://www.allabolag.se/foretag/cambrex-karlskoga-aktiebolag/karlskoga/-/5560136235,[],556013-6235,1690086,Cambrex Karlskoga Aktiebolag,1916-09-08,Aktiebolag,471,Nils Petter Lybeck,"Björkborns Industriområde, 691 33 Karlskoga",691 85 Karlskoga,Karlskoga,1 050,"['20140 Tillverkning av andra organiska baskemikalier', '21100 Tillverkning av farmaceutiska basprodukter', '20160 Basplastframställning']","Bolaget skall äga och förvalta fast och lös egendom, att utveckla, tillverka och försälja kemiska produkter och anläggningar för sådan tillverkning samt läkemedel ävensom därmed förenlig verksamhet.",0586-78 30 00,
Kopparbergs Bryggeri Aktiebolag,https://www.allabolag.se/foretag/kopparbergs-bryggeri-aktiebolag/kopparberg/-/5564798493,[],556479-8493,1665642,Kopparbergs Bryggeri Aktiebolag,1993-12-27,Publikt aktiebolag,199,Peter Gunnar Bronsman,"Klotenvägen 1, 714 82 Kopparberg",714 82 Kopparberg,Kopparberg,5 152,"['11030 Framställning av cider och andra fruktviner', '11050 Framställning av öl', '11070 Framställning av läskedrycker, mineralvatten och annat vatten på flaska', '11010 Destillering, rening och tillblandning av spritdrycker']","Bolaget skall bedriva tillverkning av och handel med sprit, vin, cider, öl, andra maltdrycker och kolsyrade drycker, äga och förvalta fastigheter samt samt därmed förenlig verksamhet.",0580-886 00,
Tommy Allström Byggproduktion AB,https://www.allabolag.se/foretag/tommy-allstr%C3%B6m-byggproduktion-ab/lindesberg/-/5565548426,"[""tab@tabyggproduktion.se"", ""tab@tabyggproduktion.se""]",556554-8426,1664389,Tommy Allström Byggproduktion AB,1998-04-16,Aktiebolag,59,,"Stafettg. 31, 711 34 LINDESBERG","Stafettgatan 31, 71134 LINDESBERG",LINDESBERG,100,['41200 Byggande av bostadshus och andra byggnader'],"Föremålet för bolagets verksamhet är byggnadsverksamhet, uthyrning av byggmaskiner och verktyg, handel med och förvaltning av värdepapper och fastigheter, handel med och uppfödning av travhästar och därmed förenlig verksamhet.",0581-419 91,http://www.tabyggproduktion.se
LäroMedia Bokhandel Örebro Aktiebolag,https://www.allabolag.se/foretag/l%C3%A4romedia-bokhandel-%C3%B6rebro-aktiebolag/%C3%B6rebro/-/5564162757,[],556416-2757,1598122,LäroMedia Bokhandel Örebro Aktiebolag,1991-01-16,Aktiebolag,54,Per Håkan Åkesson,"Ormestagatan 2, 702 83 Örebro","Box 6073, 700 06 Örebro",Örebro,100,"['46499 Partihandel med övriga hushållsvaror', '47610 Specialiserad butikshandel med böcker']","Bolaget skall driva bokhandel, sälja utbildningsmaterial och annan utrustning till studerande, skolor, institutioner och företag, bedriva utbildning och konsultverksamhet i bokhandlar- branschen, förvalta fast egendom, bedriva bokdistribution samt bedriva handel med värdepapper och därmed förenlig verksamhet.",019-20 69 00,
Adven Sverige AB,https://www.allabolag.se/foretag/adven-sverige-ab/%C3%B6rebro/-/5567029516,[],556702-9516,1530354,Adven Sverige AB,2006-04-28,Aktiebolag,246,Nils Henrik Johansson Casimiro,"Radiatorvägen 17, 702 27 Örebro","Radiatorvägen 17, 702 27 Örebro",Örebro,100,['35300 Försörjning av värme och kyla'],"Bolaget har till föremål för sin verksamhet att, uppföra, äga och driva produktionsanläggningar och distributionsanläggningar och distributionssystem samt äga, förvalta och utveckla anläggningar och system för produktion och försäljning av värme, kyla och gas samt att bedriva därmed förenlig verksamhet.",020-075 16 50,
ASPA PULP AB,https://www.allabolag.se/foretag/aspa-pulp-ab/aspabruk/-/5560646498,[],556064-6498,1499444,ASPA PULP AB,1957-04-09,Aktiebolag,187,Lars Roger Bergström,Aspabruk,"Fabriksvägen, 696 80 Aspabruk",Aspabruk,15 000,"['17112 Sulfatmassatillverkning', '20140 Tillverkning av andra organiska baskemikalier', '38110 Insamling av icke-farligt avfall']","Föremålet för bolagets verksamhet är att tillverka och försälja pappersmassa samt därav förädlade produkter, att äga och förvalta fast egendom, värdepapper och annan därmed likartad lös egendom, att bedriva agenturverksamhet för ovan angivna produkter samt att idka annan därmed förenlig verksamhet.",0583-816 00,
EURENCO Bofors Aktiebolag,https://www.allabolag.se/foretag/eurenco-bofors-aktiebolag/karlskoga/-/5562679372,[],556267-9372,1301003,EURENCO Bofors Aktiebolag,1985-11-18,Aktiebolag,386,Lennart Olof Gustafsson,"Björkbornsv., 691 33 Karlskoga",691 86 Karlskoga,Karlskoga,25 000,"['20510 Sprängämnestillverkning', '21100 Tillverkning av farmaceutiska basprodukter', '20140 Tillverkning av andra organiska baskemikalier']","Bolaget skall äga och förvalta fast och lös egendom, tillverka och försälja krut, sprängämnen samt anläggningar för sådan tillverkning ävensom bedriva annan i samband därmed förenlig verksamhet.",0586-830 50,http://www.eurenco.com
NG Nordic Sweden AB,https://www.allabolag.se/foretag/ng-nordic-sweden-ab/kumla/-/5561299537,[],556129-9537,1289699,NG Nordic Sweden AB,1969-10-27,Aktiebolag,188,Eva Jessica Cedervall,"Norrtorp 112, 692 92 Kumla","c/o NG Nordic Sweden AB Norrtorp 112, 692 85 Kumla",Kumla,28 000,"['38220 Behandling och bortskaffande av farligt avfall', '38120 Insamling av farligt avfall', '35110 Generering av elektricitet', '46772 Partihandel med metallavfall och metallskrot', '38320 Återvinning av källsorterat material']","Föremålet för Bolagets verksamhet är att behandla, destruera och'/eller långtidsförvara avfall samt driva annan därmed förenlig verksamhet och konsult- och entreprenadverksamhet i huvudsaklig anslutning till nyssnämnda verksamheter, att driva annan därmed förenlig verksamhet samt äga och förvalta fast och lös egendom.",019-30 51 00,
ScandFibre Logistics Aktiebolag,https://www.allabolag.se/foretag/scandfibre-logistics-aktiebolag/%C3%B6rebro/-/5562531474,"[""info@scandfibre.se"", ""info@scandfibre.se""]",556253-1474,1212027,ScandFibre Logistics Aktiebolag,1984-11-25,Aktiebolag,24,Mats Bertil Erkén,"Aspholmsvägen 12A, 70227 Örebro","Aspholmsvägen 12, 702 27 Örebro",Örebro,1 000,['52290 Övriga stödtjänster till transport'],Föremålet för bolagets verksamhet skall vara att tillhandahålla och utveckla transport- och logistiktjänster och därmed förenlig verksamhet.,019-20 80 80,https://www.scandfibre.se/
