org_number,legal_name,sni_code,sni_description
559332-4907,Degerfors Long Products AB,24100,Framställning av järn och stål samt ferrolegeringar
559332-4907,Degerfors Long Products AB,24310,Tillverkning av kalldragen stålstång
559332-4907,Degerfors Long Products AB,38320,Återvinning av källsorterat material
556013-6235,Cambrex Karlskoga Aktiebolag,20140,Tillverkning av andra organiska baskemikalier
556013-6235,Cambrex Karlskoga Aktiebolag,21100,Tillverkning av farmaceutiska basprodukter
556013-6235,Cambrex Karlskoga Aktiebolag,20160,Basplastframställning
556479-8493,Kopparbergs Bryggeri Aktiebolag,11030,Framställning av cider och andra fruktviner
556479-8493,Kopparbergs Bryggeri Aktiebolag,11050,Framställning av öl
556479-8493,Kopparbergs Bryggeri Aktiebolag,11070,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska"
556479-8493,Kopparbergs Bryggeri Aktiebolag,11010,"Destillering, rening och tillblandning av spritdrycker"
556554-8426,Tommy Allström Byggproduktion AB,41200,Byggande av bostadshus och andra byggnader
556416-2757,LäroMedia Bokhandel Örebro Aktiebolag,46499,Partihandel med övriga hushållsvaror
556416-2757,LäroMedia Bokhandel Örebro Aktiebolag,47610,Specialiserad butikshandel med böcker
556702-9516,Adven Sverige AB,35300,Försörjning av värme och kyla
556064-6498,ASPA PULP AB,17112,Sulfatmassatillverkning
556064-6498,ASPA PULP AB,20140,Tillverkning av andra organiska baskemikalier
556064-6498,ASPA PULP AB,38110,Insamling av icke-farligt avfall
556267-9372,EURENCO Bofors Aktiebolag,20510,Sprängämnestillverkning
556267-9372,EURENCO Bofors Aktiebolag,21100,Tillverkning av farmaceutiska basprodukter
556267-9372,EURENCO Bofors Aktiebolag,20140,Tillverkning av andra organiska baskemikalier
556129-9537,NG Nordic Sweden AB,38220,Behandling och bortskaffande av farligt avfall
556129-9537,NG Nordic Sweden AB,38120,Insamling av farligt avfall
556129-9537,NG Nordic Sweden AB,35110,Generering av elektricitet
556129-9537,NG Nordic Sweden AB,46772,Partihandel med metallavfall och metallskrot
556129-9537,NG Nordic Sweden AB,38320,Återvinning av källsorterat material
556253-1474,ScandFibre Logistics Aktiebolag,52290,Övriga stödtjänster till transport
556096-1228,Tage Rejmes i Örebro Bilaktiebolag,45110,Handel med personbilar och lätta motorfordon
556096-1228,Tage Rejmes i Örebro Bilaktiebolag,45201,Allmän service och reparation av motorfordon utom motorcyklar
556096-1228,Tage Rejmes i Örebro Bilaktiebolag,45320,Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
556469-0732,Eitech Electro AB,43210,Elinstallationer
556469-0732,Eitech Electro AB,71123,Teknisk konsultverksamhet inom elteknik
556469-0732,Eitech Electro AB,80200,Säkerhetssystemtjänster
556030-2886,Suzuki Garphyttan AB,24340,Tillverkning av kalldragen ståltråd
556538-5043,Textilia Tvätt & Textilservice AB,96011,Industri- och institutionstvätt
559128-5142,KION Financial Services Sweden AB,64910,Finansiell leasing
556061-2565,Bharat Forge Kilsta AB,25500,"Smidning, pressning, prägling och valsning av metall; pulvermetallurgi"
556061-2565,Bharat Forge Kilsta AB,38320,Återvinning av källsorterat material
556027-1065,Radiator VVS Aktiebolag,43221,Värme- och sanitetsarbeten
556027-1065,Radiator VVS Aktiebolag,46742,Partihandel med VVS-varor
556749-0007,Humana Omsorg AB,87301,Vård och omsorg i särskilda boendeformer för äldre personer
556749-0007,Humana Omsorg AB,87201,Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder
556749-0007,Humana Omsorg AB,70100,Verksamheter som utövas av huvudkontor
556414-8194,FFV Ordnance Aktiebolag,46141,"Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer"
556486-7637,Dormy Golf & Fashion Aktiebolag,47641,Specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar
556012-5246,Orica Sweden AB,20510,Sprängämnestillverkning
556012-5246,Orica Sweden AB,46750,Partihandel med kemiska produkter
556310-4206,Moelven Valåsen Aktiebolag,16101,Sågning av trä
556384-6590,Möller Sportbilar AB,45110,Handel med personbilar och lätta motorfordon
556384-6590,Möller Sportbilar AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
556384-6590,Möller Sportbilar AB,73119,Övrig reklamverksamhet
556589-5934,Chroma Livs AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556589-5934,Chroma Livs AB,10710,Tillverkning av mjukt matbröd och färska bakverk
556039-3828,Mondi Örebro AB,17129,Övrig tillverkning av papper och papp
556039-3828,Mondi Örebro AB,13950,Tillverkning av bondad duk
556039-3828,Mondi Örebro AB,17123,Tillverkning av kraftpapper och kraftpapp
559239-4984,Infrakraft Mälardalen AB,42110,Anläggning av vägar och motorvägar
559239-4984,Infrakraft Mälardalen AB,42130,Anläggning av broar och tunnlar
556396-8998,Ahlstrom Ställdalen AB,17129,Övrig tillverkning av papper och papp
556396-8998,Ahlstrom Ställdalen AB,17220,Tillverkning av hushålls- och hygienartiklar av papper
556396-8998,Ahlstrom Ställdalen AB,13950,Tillverkning av bondad duk
556396-8998,Ahlstrom Ställdalen AB,17122,"Tryckpapperstillverkning, ej tidnings- och journalpapper"
556396-8998,Ahlstrom Ställdalen AB,35110,Generering av elektricitet
556784-4096,Forcit Sweden AB,20510,Sprängämnestillverkning
556784-4096,Forcit Sweden AB,46750,Partihandel med kemiska produkter
556784-4096,Forcit Sweden AB,43120,Mark- och grundarbeten
556784-4096,Forcit Sweden AB,85599,Diverse övrig utbildning
556784-4096,Forcit Sweden AB,52100,Magasinering och varulagring
556736-6215,Futurum Fastigheter i Örebro AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556736-6215,Futurum Fastigheter i Örebro AB,68320,Fastighetsförvaltning på uppdrag
556761-2436,Billerud Rockhammar AB,17111,Tillverkning av mekanisk eller halvkemisk massa
556300-8712,Pac-Production Sweden Aktiebolag,46499,Partihandel med övriga hushållsvaror
556644-2256,Green Sales Distributions AB,46360,"Partihandel med socker, choklad och sockerkonfektyrer"
556782-6366,Kronhallen Butik AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556782-6366,Kronhallen Butik AB,10112,Styckning av kött
556782-6366,Kronhallen Butik AB,10710,Tillverkning av mjukt matbröd och färska bakverk
556782-6366,Kronhallen Butik AB,10850,Tillverkning av lagad mat och färdigrätter
556046-0106,Emba Machinery Aktiebolag,28950,"Tillverkning av maskiner för produktion av massa, papper och papp"
559035-6050,Dynasafe Demil Systems AB,42990,Övriga anläggningsarbeten
556068-2154,Tage Rejmes i Örebro Lastvagnar Aktiebolag,45201,Allmän service och reparation av motorfordon utom motorcyklar
556068-2154,Tage Rejmes i Örebro Lastvagnar Aktiebolag,45191,"Handel med lastbilar, bussar och specialfordon"
556507-4126,Karlskoga Energi och Miljö AB,70100,Verksamheter som utövas av huvudkontor
556928-5561,Stormarknaden på Tybble AB,47111,"Varuhus- och stormarknadshandel, mest livsmedel, drycker och tobak"
556928-5561,Stormarknaden på Tybble AB,10710,Tillverkning av mjukt matbröd och färska bakverk
556338-1242,PartnerTech Karlskoga Aktiebolag,25400,Tillverkning av vapen och ammunition
556338-1242,PartnerTech Karlskoga Aktiebolag,28990,Tillverkning av övriga specialmaskiner
556338-1242,PartnerTech Karlskoga Aktiebolag,29320,Tillverkning av andra delar och tillbehör till motorfordon
556338-1242,PartnerTech Karlskoga Aktiebolag,26510,"Tillverkning av instrument och apparater för mätning, provning och navigering"
556338-1242,PartnerTech Karlskoga Aktiebolag,28150,"Tillverkning av lager, kugghjul och andra delar för kraftöverföring"
556167-8276,Örebroporten Fastigheter AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556167-8276,Örebroporten Fastigheter AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556242-6816,Schur Pack Sweden AB,17219,Övrig tillverkning av pappers- och pappförpackningar
556692-5557,NA Bygg Aktiebolag,41200,Byggande av bostadshus och andra byggnader
556692-5557,NA Bygg Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
