sni_code,sni_description
00009,Huvudnäring okänd
01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
01131,Potatisodling
01134,Odling av grönsaker (köksväxter) i växthus
01191,Odling av prydnadsväxter i växthus
01199,Odling av övriga ett- och tvååriga växter
01290,Odling av andra fleråriga växter
01301,Odling av plantskoleväxter i växthus
01302,Odling av plantskoleväxter m.m. på friland
01410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras
01420,Uppfödning av andra nötkreatur och bufflar
01430,Uppfödning av hästar och andra hästdjur
01450,Uppfödning av får och getter
01461,Uppfödning av smågrisar
01462,Uppfödning av slaktsvin
01471,Äggproduktion (för försäljning)
01472,"Uppfödning av fjäderfä, ej äggproduktion"
01492,Uppfödning av sällskapsdjur
01500,Blandat jordbruk
01610,Service till växtodling
01620,Service till husdjursskötsel
01630,Bearbetning av skördade växter
01700,Jakt och service i anslutning härtill
02101,Skogsförvaltning
02102,Skogsskötsel
02200,Drivning
02409,Övrig service till skogsbruk
03220,Fiskodling i sötvatten
07290,Utvinning av annan malm
08110,"Brytning av natursten, kalk- och gipssten, krita och skiffer"
08120,"Utvinning av sand, grus och berg; utvinning av lera och kaolin"
08920,Torvutvinning
10111,Kreatursslakt
10112,Styckning av kött
10120,Beredning och hållbarhetsbehandling av fjäderfäkött
10130,Charkuteri- och annan köttvarutillverkning
10200,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
10320,Juice- och safttillverkning
10519,Annan mejerivarutillverkning
10520,Glasstillverkning
10611,Mjöltillverkning
10710,Tillverkning av mjukt matbröd och färska bakverk
10722,Tillverkning av kex och konserverade bakverk
10850,Tillverkning av lagad mat och färdigrätter
10890,Framställning av andra livsmedel
11010,"Destillering, rening och tillblandning av spritdrycker"
11030,Framställning av cider och andra fruktviner
11050,Framställning av öl
11070,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska"
13300,"Blekning, färgning och annan textilberedning"
13922,"Tillverkning av presenningar, tält, segel o.d."
13940,Tågvirkes- och bindgarnstillverkning
13950,Tillverkning av bondad duk
13960,Tillverkning av andra tekniska textilier och industritextilier
13990,Övrig textilietillverkning
14140,"Tillverkning av underkläder, skjortor och blusar"
15120,"Tillverkning av reseffekter, handväskor, sadel- och seldon m. m."
15200,Tillverkning av skodon
16101,Sågning av trä
16102,Hyvling av trä
16103,Träimpregnering
16231,Tillverkning av monteringsfärdiga trähus
16233,Tillverkning av fönster av trä
16239,Tillverkning av övriga byggnads- och inredningssnickerier
16240,Träförpackningstillverkning
16291,Tillverkning av förädlade trädbränslen
17111,Tillverkning av mekanisk eller halvkemisk massa
17112,Sulfatmassatillverkning
17122,"Tryckpapperstillverkning, ej tidnings- och journalpapper"
17123,Tillverkning av kraftpapper och kraftpapp
17129,Övrig tillverkning av papper och papp
17219,Övrig tillverkning av pappers- och pappförpackningar
17220,Tillverkning av hushålls- och hygienartiklar av papper
17290,Tillverkning av andra pappers- och pappvaror
18121,Tryckning av tidskrifter
18122,Tryckning av böcker och övriga trycksaker
18130,Grafiska tjänster före tryckning (prepress/premedia)
18140,Bokbindning och andra tjänster i samband med tryckning
19200,Petroleumraffinering
20110,Industrigasframställning
20130,Tillverkning av andra oorganiska baskemikalier
20140,Tillverkning av andra organiska baskemikalier
20150,Tillverkning av gödselmedel och kväveprodukter
20160,Basplastframställning
20300,"Tillverkning av färg, lack, tryckfärg m.m."
20410,"Tillverkning av tvål, såpa, tvättmedel och polermedel"
20510,Sprängämnestillverkning
20520,Tillverkning av lim
20530,Tillverkning av eteriska oljor
20590,Tillverkning av övriga kemiska produkter
21100,Tillverkning av farmaceutiska basprodukter
21200,Tillverkning av läkemedel
22110,Tillverkning av däck och slangar; regummering
22190,Annan gummivarutillverkning
22210,Tillverkning av plasthalvfabrikat
22220,Plastförpackningstillverkning
22230,Byggplastvarutillverkning
22290,Annan plastvarutillverkning
23110,Framställning av planglas
23120,Bearbetning av planglas
23190,Tillverkning av andra glasvaror inklusive tekniska glasvaror
23200,Tillverkning av eldfasta produkter
23610,Tillverkning av betongvaror  för byggändamål
23690,"Tillverkning av andra varor av betong, cement och gips"
23701,"Huggning, formning och slutlig bearbetning av sten för byggnadsändamål"
23910,Slipmedelstillverkning
23991,Tillverkning av varor av sten- och mineralull
23999,Diverse övrig tillverkning av icke-metalliska mineraliska produkter
24100,Framställning av järn och stål samt ferrolegeringar
24200,"Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål"
24310,Tillverkning av kalldragen stålstång
24330,Tillverkning av andra kallformade produkter av stål
24340,Tillverkning av kalldragen ståltråd
24440,Framställning av koppar
24510,Gjutning av järn
25110,Tillverkning av metallstommar och delar därav
25120,Tillverkning av dörrar och fönster av metall
25210,Tillverkning av radiatorer och pannor för centraluppvärmning
25290,"Tillverkning av andra cisterner, tankar, kar och andra behållare av metall"
25400,Tillverkning av vapen och ammunition
25500,"Smidning, pressning, prägling och valsning av metall; pulvermetallurgi"
25610,Beläggning och överdragning av metall
25620,Metallegoarbeten
25720,Tillverkning av lås och gångjärn
25730,Tillverkning av verktyg och redskap
25930,"Tillverkning av metalltrådvaror, kedjor och fjädrar"
25940,Tillverkning av nitar och skruvar
25999,Diverse övrig metallvarutillverkning
26110,Tillverkning av elektroniska komponenter
26300,Tillverkning av kommunikationsutrustning
26400,Tillverkning av hemelektronik
26510,"Tillverkning av instrument och apparater för mätning, provning och navigering"
27110,"Tillverkning av elmotorer, generatorer och transformatorer"
27120,Tillverkning av eldistributions- och elkontrollapparater
27320,Tillverkning av andra elektroniska och elektriska ledningar och kablar
27330,Tillverkning av kabeltillbehör
27400,Tillverkning av belysningsarmatur
27510,Tillverkning av elektriska hushållsmaskiner och hushållsapparater
28120,Tillverkning av fluidteknisk utrustning
28130,Tillverkning av andra pumpar och kompressorer
28140,Tillverkning av andra kranar och ventiler
28150,"Tillverkning av lager, kugghjul och andra delar för kraftöverföring"
28210,Tillverkning av ugnar och brännare
28220,Tillverkning av lyft- och godshanteringsanordningar
28240,Tillverkning av motordrivna handverktyg
28250,Tillverkning av maskiner och apparater för kyla och ventilation utom för hushåll
28290,Övrig tillverkning av maskiner för allmänt ändamål
28410,Tillverkning av verktygsmaskiner för metallbearbetning
28490,Tillverkning av övriga verktygsmaskiner
28920,"Tillverkning av gruv-, bergbrytnings- och byggmaskiner"
28950,"Tillverkning av maskiner för produktion av massa, papper och papp"
28960,Tillverkning av maskiner för gummi och plast
28990,Tillverkning av övriga specialmaskiner
29101,Tillverkning av personbilar och andra lätta motorfordon
29102,Tillverkning av lastbilar och andra tunga motorfordon
29200,Tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar
29310,Tillverkning av elektrisk och elektronisk utrustning för motorfordon
29320,Tillverkning av andra delar och tillbehör till motorfordon
30110,Byggande av fartyg och flytande materiel
30120,Byggande av fritidsbåtar
30200,Tillverkning av rälsfordon
31011,Tillverkning av kontors- och butiksmöbler
31012,Tillverkning av kontors- och butiksinredningar
31021,Tillverkning av köksmöbler
31022,Tillverkning av köksinredningar
31090,Tillverkning av andra möbler
32120,"Tillverkning av smycken, guld- och silversmedsvaror"
32300,Tillverkning av sportartiklar
32400,Tillverkning av spel och leksaker
32501,Tillverkning av medicinska och dentala instrument och tillbehör
32502,Tillverkning av tandproteser
32990,Diverse övrig tillverkning
33110,Reparation av metallvaror
33120,Reparation av maskiner
33140,Reparation av elapparatur
33150,Reparation och underhåll av fartyg och båtar
33160,Reparation och underhåll av luftfartyg och rymdfarkoster
33170,Reparation och underhåll av andra transportmedel
33190,Reparation av annan utrustning
33200,Installation av industrimaskiner och -utrustning
35110,Generering av elektricitet
35120,Överföring av elektricitet
35130,Distribution av elektricitet
35140,Handel med elektricitet
35210,Framställning av gas
35300,Försörjning av värme och kyla
36001,Grundvattenförsörjning
37000,Avloppsrening
38110,Insamling av icke-farligt avfall
38120,Insamling av farligt avfall
38210,Behandling och bortskaffande av icke-farligt avfall
38220,Behandling och bortskaffande av farligt avfall
38312,Demontering av elektrisk och elektronisk utrustning
38320,Återvinning av källsorterat material
39000,"Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning"
41100,Utformning av byggprojekt
41200,Byggande av bostadshus och andra byggnader
42110,Anläggning av vägar och motorvägar
42120,Anläggning av järnvägar och tunnelbanor
42130,Anläggning av broar och tunnlar
42210,"Allmännyttiga anläggningsarbeten för värme, vatten och avlopp"
42220,Anläggningsarbeten för el och telekommunikation
42910,Vattenbyggnad
42990,Övriga anläggningsarbeten
43110,Rivning av hus och byggnader
43120,Mark- och grundarbeten
43130,Markundersökning
43210,Elinstallationer
43221,Värme- och sanitetsarbeten
43222,Ventilationsarbeten
43223,Kyl- och frysinstallationsarbeten
43229,Övriga VVS-arbeten
43290,Andra bygginstallationer
43310,"Puts-, fasad- och stuckatörsarbeten"
43320,Byggnadssnickeriarbeten
43330,Golv- och väggbeläggningsarbeten
43341,Måleriarbeten
43342,Glasmästeriarbeten
43390,Annan slutbehandling av byggnader
43911,Takarbeten av plåt
43912,Takarbeten av andra material än plåt
43991,Uthyrning av bygg- och anläggningsmaskiner med förare
43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
45110,Handel med personbilar och lätta motorfordon
45191,"Handel med lastbilar, bussar och specialfordon"
45192,"Handel med husvagnar, husbilar, släpfordon och påhängsvagnar"
45201,Allmän service och reparation av motorfordon utom motorcyklar
45202,"Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar"
45203,Installationer och reparationer av elsystem till motorfordon utom motorcyklar
45204,Däckservice
45310,Parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar
45320,Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
45400,Handel med och service av motorcyklar inklusive reservdelar och tillbehör
46120,"Provisionshandel med bränsle, malm, metaller och industrikemikalier"
46130,Provisionshandel med virke och byggmaterial
46141,"Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer"
46142,Provisionshandel med kontorsutrustning och datorer
46150,"Provisionshandel med möbler, hushålls- och järnhandelsvaror"
46160,"Provisionshandel med textilier, kläder, skodon och lädervaror"
46170,"Provisionshandel med livsmedel, drycker och tobak"
46180,Provisionshandel med annat specialsortiment
46190,Provisionshandel med blandat sortiment
46210,"Partihandel med spannmål, råtobak, utsäde och djurfoder"
46220,Partihandel med blommor och växter
46230,Partihandel med levande djur
46240,"Partihandel med hudar, skinn och läder"
46310,Partihandel med frukt och grönsaker
46320,Partihandel med kött- och köttvaror
46330,"Partihandel med mejeriprodukter, ägg, matolja och matfett"
46340,Partihandel med drycker
46350,Partihandel med tobak
46360,"Partihandel med socker, choklad och sockerkonfektyrer"
46370,"Partihandel med kaffe, te, kakao och kryddor"
46380,"Partihandel med andra livsmedel, bl.a. fisk samt skal- och blötdjur"
46390,"Icke specialiserad partihandel med livsmedel, drycker och tobak"
46410,Partihandel med textilier
46420,Partihandel med kläder och skodon
46431,Partihandel med elektriska hushållsmaskiner och -apparater
46432,Partihandel med ljud- och bildanläggningar samt videoutrustning
46433,Partihandel med inspelade band och skivor för musik och bild
46434,Partihandel med elartiklar
46440,"Partihandel med glas och porslin, rengöringsmedel"
46460,Partihandel med medicinsk utrustning och apoteksvaror
46470,"Partihandel med möbler, mattor och belysningsartiklar"
46491,Partihandel med sport- och fritidsartiklar
46492,Partihandel med kontorsförbrukningsvaror
46499,Partihandel med övriga hushållsvaror
46510,Partihandel med datorer och kringutrustning samt programvara
46521,Partihandel med elektronikkomponenter
46522,Partihandel med teleprodukter
46610,Partihandel med jordbruksmaskiner och -utrustning
46620,Partihandel med verktygsmaskiner
46630,"Partihandel med gruv-, bygg- och anläggningsmaskiner"
46650,Partihandel med kontorsmöbler
46660,Partihandel med andra kontorsmaskiner och kontorsutrustning
46691,Partihandel med mät- och precisionsinstrument
46692,Partihandel med datoriserad materialhanteringsutrustning
46699,Partihandel med diverse övriga maskiner och utrustning
46710,Partihandel med bränslen
46720,Partihandel med metaller och metallmalmer
46731,Partihandel med virke och andra byggmaterial
46732,Partihandel med sanitetsgods
46741,Partihandel med järnhandelsvaror
46742,Partihandel med VVS-varor
46750,Partihandel med kemiska produkter
46761,Partihandel med industriförnödenheter
46762,Partihandel med emballage
46769,Partihandel med övriga insatsvaror
46771,Partihandel med uttjänta fordon
46772,Partihandel med metallavfall och metallskrot
46773,Partihandel med avfall och skrot av icke-metall
46900,Övrig partihandel
47111,"Varuhus- och stormarknadshandel, mest livsmedel, drycker och tobak"
47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
47191,Annan varuhus- och stormarknadshandel
47199,Övrig detaljhandel med brett sortiment
47220,Specialiserad butikshandel med kött och charkuterier
47230,"Specialiserad butikshandel med fisk, skal- och blötdjur"
47241,Specialiserad butikshandel med bröd och konditorivaror
47242,Specialiserad butikshandel med konfektyrer
47260,Specialiserad butikshandel med tobaksvaror
47299,Övrig specialiserad butikshandel med livsmedel
47300,Specialiserad detaljhandel med drivmedel
47410,"Specialiserad butikshandel med datorer, programvara, data- och tv-spel"
47420,Specialiserad butikshandel med telekommunikationsutrustning
47430,Specialiserad butikshandel med ljud- och bildanläggningar samt videoutrustning
47510,Specialiserad butikshandel med textilier
47521,Specialiserad butikshandel med virke och byggvaror
47522,Specialiserad butikshandel med järn- och VVS-varor
47523,"Specialiserad butikshandel med färger, fernissor och lacker"
47531,Specialiserad butikshandel med mattor och annan vägg- och golvbeklädnad
47540,Specialiserad butikshandel med elektriska hushållsmaskiner och hushållsapparater
47591,Specialiserad butikshandel med möbler för hemmet
47592,Specialiserad butikshandel med kontorsmöbler
47593,"Specialiserad butikshandel med glas, porslin och andra bosättningsvaror"
47594,Specialiserad butikshandel med belysningsartiklar
47595,Specialiserad butikshandel med musikinstrument och noter
47610,Specialiserad butikshandel med böcker
47621,Specialiserad butikshandel med tidningar
47622,Specialiserad butikshandel med kontorsförbrukningsvaror
47641,Specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar
47642,Specialiserad butikshandel med cyklar
47643,Specialiserad butikshandel med båtar
