name,legal_name,org_number,city,revenue,employees,emails,phone,website,sni2,sni_codes,registration_date,company_age_years,share_capital,priority_score
Eitech Electro AB,Eitech Electro AB,556469-0732,Örebro,1148443,346.0,"['andreas.jonsson@eitech.se', 'kontakt.lund@eitech.se', 'magnus.mellbert@eitech.se', 'per-olov.forss@vinci-energies.se', 'lars.bjuren@eitech.se', 'kontakt.malmo@eitech.se', 'patrik.ahrling@eitech.se', 'eitechsyd@bscs.basware.com', 'felanmalan.malmo@eitech.se', 'kontakt.kavlinge@eitech.se']",019-20 62 69,https://www.eitech.se/,43,"['43210 Elinstallationer', '71123 Teknisk konsultverksamhet inom elteknik', '80200 Säkerhetssystemtjänster']",1993-06-24,32.2,34530.0,0.812
Radiator VVS Aktiebolag,Radiator VVS Aktiebolag,556027-1065,Örebro,1049426,474.0,['info@radiatorvvs.se'],019-27 30 00,https://www.radiatorvvs.se/,43,"['43221 Värme- och sanitetsarbeten', '46742 Partihandel med VVS-varor']",1928-08-27,97.0,2500.0,0.79
Tage Rejmes i Örebro Bilaktiebolag,Tage Rejmes i Örebro Bilaktiebolag,556096-1228,Örebro,1189828,159.0,['kontakt@rejmes.se'],019-30 17 00,https://rejmes.se/orebro/,45,"['45110 Handel med personbilar och lätta motorfordon', '45201 Allmän service och reparation av motorfordon utom motorcyklar', '45320 Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar']",1965-01-13,60.7,3000.0,0.782
Dormy Golf & Fashion Aktiebolag,Dormy Golf & Fashion Aktiebolag,556486-7637,Örebro,924838,176.0,['info@jobbland.se'],019-20 95 00,https://jobbland.se/jobb/butiksmedarbetare-lager-till-dormy-arninge-sksee-19444993,47,['47641 Specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar'],1994-04-22,31.4,3000.0,0.782
Gustavsvik Resorts AB,Gustavsvik Resorts AB,556095-8638,Örebro,107987,60.0,"['info@gustavsvik.se', 'camping@gustavsvik.se', 'gym@gustavsvik.se', 'rnamn.efternamn@gustavsvik.se', 'bad@gustavsvik.se', 'marknad@gustavsvik.se', 'relaxen@gustavsvik.se']",019-19 69 10,https://gustavsvik.se/,93,"['93119 Drift av sporthallar, idrottsplatser och andra sportanläggningar', '55300 Campingplatsverksamhet', '55202 Stugbyverksamhet m.m.']",1964-12-22,60.7,40560.0,0.769
B Krafft Måleri Aktiebolag,B Krafft Måleri Aktiebolag,556286-5229,Örebro,86983,73.0,['info@krafft-maleri.se'],019-10 57 40,https://www.krafft-maleri.se/,43,"['43341 Måleriarbeten', '43330 Golv- och väggbeläggningsarbeten']",1986-11-03,38.9,1650.0,0.769
CAB Group AB,CAB Group AB,556131-2223,Örebro,422827,209.0,['info@cab.se'],019-15 86 00,https://cabgroup.se/,62,"['62010 Dataprogrammering', '62020 Datakonsultverksamhet']",1969-12-02,55.8,550.0,0.768
Drillcon Scandinavia Aktiebolag,Drillcon Scandinavia Aktiebolag,556090-6272,Örebro,239065,138.0,"['svante.berglund@drillcon.se', 'svante.berglund@drillcon.se']",0587-828 20,https://www.drillcon.se/sv/dotterbolag/drillcon-scandinavia,43,['43120 Mark- och grundarbeten'],1963-12-27,61.7,800.0,0.768
Flex Applications Sverige AB,Flex Applications Sverige AB,556616-1948,Örebro,198959,103.0,"['info@flexapplications.se', 'info@flexapplications.se', '15info@flexapplications.se']",019-10 39 15,https://www.flexapplications.se/,62,['62010 Dataprogrammering'],2001-09-24,24.0,1000.0,0.767
Örebroporten Fastigheter AB,Örebroporten Fastigheter AB,556167-8276,Örebro,531050,49.0,"['lennart.sjogren@orebroporten.se', 'linus.larsson@orebroporten.se', 'martin.yttreus@orebroporten.se', 'johan.ardefors@orebroporten.se', 'mikael.stahlberg@orebroporten.se', 'mattias.waller@orebroporten.se', 'emma.ekstrom@orebroporten.se', 'stefan.engstrom@orebroporten.se', 'hampus.hansson-budahl@orebroporten.se', 'mattias.bjornlund@orebroporten.se', 'ingrid.erikson@orebroporten.se', 'jeanette.berggren@orebroporten.se', 'helge.gustafsson@orebroporten.se', 'linus.andersson@orebroporten.se', 'lars-erik.sjogren@orebroporten.se', 'susanne.lusth@orebroporten.se', 'pernilla.ragstad@orebroporten.se', 'karin.bodin@orebroporten.se', 'nils.kallman@orebroporten.se', 'otto.ahman@orebroporten.se', 'carina.olsson@orebroporten.se', 'andreas.nehr@orebroporten.se', 'julia.symonenko@orebroporten.se', 'karin.holst.melin@orebroporten.se', 'frida.nilsson@orebroporten.se', 'gunnar.ellstrom@orebroporten.se', 'alexander.sterner@orebroporten.se', 'goran.kotto@orebroporten.se', 'malin.lackgren@orebroporten.se', 'karin.domfors@orebroporten.se', 'anna.hakansson@orebroporten.se', 'andreas.kjellbom@orebroporten.se', 'erik.blom@orebroporten.se', 'amanda.svensson@orebroporten.se', 'magnus.andersson@orebroporten.se', 'sara.eriksson@orebroporten.se', 'hakan.asto@orebroporten.se', 'patrik.larsson@orebroporten.se', 'erik.cederlof@orebroporten.se', 'david.nordvall@orebroporten.se', 'dennis.norberg@orebroporten.se', 'bjorn.noren@orebroporten.se', 'info@orebroporten.se', 'markus.johansson@orebroporten.se', 'sebastian.sterner@orebroporten.se', 'stefan.gustavsson@orebroporten.se', 'lars.winell@orebroporten.se', 'hans.eriksson@orebroporten.se', 'gabriel.envall@orebroporten.se', 'anders.ejdeholt@orebroporten.se']",019-676 22 30,https://www.orebroporten.se/,68,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler', '68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler']",1972-01-01,53.7,10800.0,0.766
Nethouse Sverige AB,Nethouse Sverige AB,556574-9990,Örebro,217341,97.0,"['robin.henrysson@nethouse.se', 'info@nethouse.se', 'johan.ripe@nethouse.se', 'anders.radman@nethouse.se']",077-017 40 00,https://nethouse.se/,62,"['62020 Datakonsultverksamhet', '62030 Datordrifttjänster', '62010 Dataprogrammering', '62090 Andra IT- och datatjänster', '69201 Redovisning och bokföring']",1999-09-27,26.0,607.0,0.762
Capio Läkargruppen AB,Capio Läkargruppen AB,556492-0410,Örebro,216917,119.0,"['info@capiolakargruppen.se', 'holmqvistanita.holmqvist@capio.se', 'rkstedteric.bjorkstedt@capio.se']",019-21 79 00,https://www.capio.se/hitta-mottagning/specialistvard/lakargruppen/,86,"['86222 Specialistläkarverksamhet inom öppenvård, ej på sjukhus']",1994-08-31,31.0,3000.0,0.762
FinFast Aktiebolag,FinFast Aktiebolag,556387-1259,Örebro,69892,10.0,['info@finfast.se'],019-33 50 50,https://finfast.se/,68,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],1990-02-27,35.5,29913.0,0.761
Hasselfors Garden AB,Hasselfors Garden AB,556665-1823,Örebro,430222,90.0,"['peter.johansson@hasselforsgarden.se', 'clara.beeckman@hasselforsgarden.se', 'magnus.danling@hasselforsgarden.se', 'katja.nordstrom@hasselforsgarden.se', 'fredrik.rams@hasselforsgarden.se', 'camilla.novak@hasselforsgarden.se', 'theodor.odgaard@hasselforsgarden.se', 'kundcenter@hasselforsgarden.se', 'victor.stal@hasselforsgarden.se', 'mark@hasselforsgarden.se', 'levfakturor@hasselforsgarden.se']",019-761 42 00,https://www.hasselforsgarden.se/,20,"['20150 Tillverkning av gödselmedel och kväveprodukter', '08920 Torvutvinning', '70100 Verksamheter som utövas av huvudkontor']",2004-08-20,21.1,9800.0,0.759
Puts & Tegel i Örebro AB,Puts & Tegel i Örebro AB,556554-6156,Örebro,226285,126.0,"['lea.evertsson@putsotegel.se', 'anton.axelsson@putsotegel.se', 'elisabeth.ostlund@putsotegel.se', 'dzevad.ahmetovic@putsotegel.se', 'jimmy.wirgart@putsotegel.se', 'info@putsotegel.se']",019-17 54 80,https://www.putsotegel.se/,43,"['43310 Puts-, fasad- och stuckatörsarbeten']",1998-05-12,27.3,250.0,0.756
Aktiebolaget Carlsson & Åqvist,Aktiebolaget Carlsson & Åqvist,556010-8945,Örebro,51735,6.0,"['fastigheter@aqv.se', 'fastigheter@aqv.se']",019-16 70 70,http://www.aqv.se,68,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '68209 Övrig förvaltning av egna eller arrenderade fastigheter', '68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler']",1912-02-14,113.6,24000.0,0.755
Visionite Örebro AB,Visionite Örebro AB,559291-1431,Örebro,28790,25.0,"['miranda.pojen@visionite.se', 'malin.landen@visionite.se']",076-786 06 60,https://visionite.se/vara-kontor/orebro/,62,['62020 Datakonsultverksamhet'],2020-12-16,4.7,50.0,0.753
Roland Hallafors Åkeri o. Schakt Aktiebolag,Roland Hallafors Åkeri o. Schakt Aktiebolag,556136-8407,Örebro,88532,52.0,['info@hallafors.se'],019-29 15 60,https://www.hallafors.se/,43,"['43120 Mark- och grundarbeten', '49410 Vägtransport, godstrafik', '08120 Utvinning av sand, grus och berg; utvinning av lera och kaolin', '45201 Allmän service och reparation av motorfordon utom motorcyklar']",1970-06-23,55.2,300.0,0.75
SiteVision AB,SiteVision AB,556624-7747,Örebro,139370,73.0,"['info@sitevision.se', 'info@sitevision.se']",019-17 30 30,https://www.sitevision.se/,62,['62010 Dataprogrammering'],2002-03-04,23.5,200.0,0.749
